date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:31	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:33%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM2x5Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexfbd5.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:31	92364/92364	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:33%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=3	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/19ba9.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:31	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:33%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM20xIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index4cbb.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:31	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:34%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM200Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index719e.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:31	92744/92744	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:34%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=4	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1fdb0.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:31	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:34%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM202Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexe334.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:32	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:34%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM203Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexbfed.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:32	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:34%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM205Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index774c.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:32	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:35%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21jIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index358c.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:32	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:35%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21lIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index6b80.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
